epoch,train_total_loss,train_loss_joint_pos,train_loss_joint_vel,train_raw_mse_joint_pos,train_raw_mse_joint_vel,train_raw_rmse_joint_pos,train_raw_rmse_joint_vel,val_total_loss,val_loss_joint_pos,val_loss_joint_vel,val_raw_mse_joint_pos,val_raw_mse_joint_vel,val_raw_rmse_joint_pos,val_raw_rmse_joint_vel
1,0.6231146278663634,0.09747421975970391,0.5256404081204915,0.011704669957700968,0.5931309376881105,0.10818812299740192,0.7701499449380689,0.5341318413792902,0.0844665297370742,0.44966531225757783,0.010040139185701224,0.5049349633453993,0.10020049493740649,0.7105877590737117
2,0.48936058420044404,0.07652829655069392,0.4128322876885769,0.009076821526666707,0.4664465065813395,0.09527235447214846,0.6829688913715906,0.4911592660271475,0.08006025883763083,0.4110990077138685,0.00947769583206742,0.46212278179259625,0.097353458244006,0.6797961325225352
3,0.4553418752491109,0.07292161466740002,0.3824202604017213,0.008590887682627476,0.43201652295196263,0.0926870416111523,0.6572796383214398,0.4696911937935405,0.07785939358524645,0.3918317996255261,0.009142899657269908,0.4406356839663087,0.09561851105967875,0.6638039499478056
4,0.43508996955510815,0.07078083911941829,0.36430913037431734,0.00830800278563329,0.41136803996299104,0.09114824620163182,0.6413797938530579,0.45351649995984306,0.07602440904924854,0.37749209064235495,0.008916399944587726,0.4243734589520995,0.09442669084844457,0.6514395282388838
5,0.42133813655557767,0.06944173412790718,0.3518964024497821,0.00813039976946228,0.39733742313560827,0.09016872944353979,0.6303470656198918,0.4435652395677898,0.07483374102830939,0.3687314986211165,0.008767411734061615,0.4151095690503734,0.09363445804863514,0.6442899727998049
6,0.411222963617843,0.06847035989301367,0.34275260363889626,0.007998563586420808,0.3871333730060215,0.08943468894350115,0.62220042832356,0.4367751918447414,0.07460337001012944,0.3621718215373434,0.00869468296073536,0.40780137555105284,0.09324528385251106,0.638593278661037
7,0.40346356024641344,0.06776454607506745,0.33569901421038983,0.007900458336451024,0.3793340234776291,0.08888452247973785,0.6159009851247432,0.43058481837874285,0.07400863754615243,0.35657618180175094,0.008635524337519856,0.40130980961959356,0.09292752195942737,0.6334901811548412
8,0.3971791309166997,0.06720759649364565,0.32997153431563014,0.007823538081160835,0.3730801734128192,0.08845076642494872,0.6108028924397945,0.4256574091469123,0.07360379098289717,0.3520536191367406,0.008580451835423143,0.39665203974335533,0.09263072835416519,0.6298031753995492
9,0.39199911072385546,0.06672534109503982,0.32527376955764403,0.007757463844874226,0.36799681096916265,0.08807646589682301,0.6066274070376005,0.42119020359945536,0.07308287000865149,0.348107332520599,0.008506350124338568,0.39243798022025134,0.09222987652782892,0.6264487051788449
10,0.3875722820234217,0.06628103776106348,0.3212912442219814,0.007695963423647162,0.3637038143423874,0.08772664033033045,0.6030786137332241,0.4178016226359055,0.0727532377973182,0.3450483838727848,0.008438740470220692,0.3889934691108035,0.0918626173708364,0.6236934095457507
11,0.38374946034324975,0.06587663000664619,0.3178728301959664,0.00763904583407969,0.3600362485259147,0.08740163519110893,0.6000302063445762,0.4151270565901255,0.07275523691035306,0.3423718191133015,0.008440443625541494,0.3866630714124645,0.0918718870250388,0.621822379311379
12,0.38036649967332176,0.06550418474632143,0.3148623149625709,0.007588702122048454,0.35680783608795225,0.08711315699737011,0.5973339401774792,0.4128577144234522,0.07261554771975068,0.3402421661592808,0.008433243871353689,0.3842989729131431,0.09183269500212704,0.619918521188989
13,0.37731165874317496,0.06516281272615537,0.31214884590950404,0.007543087031045364,0.35385948975919185,0.08685094720868256,0.5948608995044067,0.4101753203700735,0.07207820991586168,0.33809711218169075,0.00838307961600616,0.3816749438760526,0.09155915910495334,0.6177984654206035
14,0.3745932276948822,0.06483911738151388,0.30975411033740313,0.007499895932707921,0.3512554939434407,0.08660193954356865,0.592668114498697,0.40791899468861326,0.07196280958353336,0.33595618522002607,0.008329907762182353,0.37937373908596733,0.09126832836303267,0.6159332261584589
15,0.37206179446251947,0.06455033814540727,0.307511456225318,0.007460376645230506,0.348864649425525,0.08637347188362006,0.590647652518424,0.4062162495623262,0.07180720918443036,0.33440903922284804,0.008318065518410639,0.37784763925765574,0.0912034293127766,0.6146931260862251
16,0.36979045519113196,0.06427392772016557,0.3055165275222125,0.007423670990125256,0.34668759500777047,0.08616072765550008,0.5888018299969613,0.4041453998811551,0.07137836435115694,0.33276703518898726,0.008239929115973326,0.37638355816545777,0.09077405530201527,0.6135010661485909
17,0.3676638770505671,0.06399932200588072,0.30366455499652517,0.007387697626626906,0.3447054256587106,0.0859517168335043,0.587116194342066,0.4030741849463146,0.07127701008277527,0.33179717495077743,0.008222164639364428,0.374983777157392,0.09067615253948763,0.6123591896570116
18,0.36569061428328636,0.06376604202752947,0.30192457226682795,0.007357327181560608,0.3428444785498191,0.08577486334329311,0.5855292294581195,0.39979089841035126,0.07081156211262064,0.3289793355835684,0.00816451177565489,0.3720346147607452,0.090357687972053,0.6099464031869892
19,0.36382299436691534,0.06352474534764699,0.3002982490405574,0.00732488489387345,0.3410832151346275,0.08558554138330522,0.5840233001641523,0.39953274298733504,0.0707027223398691,0.32883001890297386,0.008175640142705115,0.3721818133211598,0.09041924652807673,0.6100670564136043
20,0.3621375019580007,0.06330299090456552,0.29883451102282693,0.007295495990944008,0.33950383951739427,0.08541367566697974,0.5826695800515025,0.39777204257493703,0.07040692682340506,0.3273651163081754,0.008111229381471928,0.3703154648432316,0.09006236384568156,0.6085355082846289
21,0.36053042429507864,0.0630926525698477,0.29743777169741425,0.007269622062405834,0.33802950628224726,0.08526207868921466,0.5814030497703355,0.39690712473230627,0.07057624021456485,0.32633088555565476,0.00816590417598567,0.3697497073139492,0.0903653925791598,0.6080704789035143
22,0.3590646325156905,0.06289644228738855,0.2961681901425554,0.007244003609014823,0.33668207604320133,0.08511171252544988,0.580243118048979,0.3957605063241093,0.07028506193003499,0.325475444456867,0.008127554994318891,0.3686061104905053,0.09015295333109666,0.6071294017674529
23,0.3576805094433996,0.06270431881244314,0.2949761905445587,0.007220360988725521,0.3354050137579328,0.08497270731667622,0.5791416180503114,0.3948235320480397,0.06993830101136174,0.3248852314875423,0.008056746287788236,0.36818896406124507,0.0897593799432028,0.6067857645505909
24,0.3564088262871398,0.06254002895790156,0.2938687972861954,0.007198820518924917,0.3342192483887857,0.0848458632988369,0.5781169850374452,0.392222975907243,0.06957359486321549,0.32264938058058235,0.00800543501985546,0.36530113184635243,0.08947309662605547,0.6044014657877266
25,0.35517077560395227,0.06236642318836885,0.29280435240212443,0.007176734126521895,0.33307911351467573,0.08471560733726634,0.5771300663755751,0.391689104105226,0.06950891840670553,0.32218018605909093,0.007982348757257226,0.364584546882295,0.08934399116480764,0.6038083693377354
