epoch,train_total_loss,train_loss_joint_pos,train_loss_joint_vel,train_raw_mse_joint_pos,train_raw_mse_joint_vel,train_raw_rmse_joint_pos,train_raw_rmse_joint_vel,val_total_loss,val_loss_joint_pos,val_loss_joint_vel,val_raw_mse_joint_pos,val_raw_mse_joint_vel,val_raw_rmse_joint_pos,val_raw_rmse_joint_vel
1,0.5707914821191243,0.09419584252336373,0.4765956396084226,0.0113766806139666,0.623122317374744,0.10666152358731147,0.7893809709986326,0.5093952996213568,0.08450242548523508,0.4248928742312652,0.010109611022634619,0.5486658477502323,0.10054656146599256,0.7407198173062689
1,0.6026574351543134,0.09450188504144692,0.508155550228937,0.011098722352927252,0.630123814421625,0.10535047390936242,0.7938033852419786,0.5211437218128832,0.08045143800373697,0.4406922834494585,0.009521237293378507,0.5312692882165736,0.09757682764559682,0.7288822183429732
2,0.4694723787283789,0.07471889318247976,0.39475348561354573,0.00882273696265038,0.4762754020023634,0.09392942543553846,0.6901270911957909,0.47210046609292117,0.07625434062339376,0.3958461265455548,0.008969066126748351,0.4741741163217947,0.09470515364407764,0.6886030179441524
3,0.43623943257549286,0.07117634860014693,0.3650630839549175,0.008369984240410328,0.43863631499148353,0.09148761796227033,0.662296244132098,0.4467688214894691,0.07336225172103528,0.37340657082336026,0.00856666210382897,0.4473373732998895,0.092556264530441,0.6688328440648601
1,0.5604145437160644,0.08905642478082643,0.4713581190511358,0.010819726091319105,0.5743819375366173,0.1040179123580122,0.7578798965117212,0.4788001639841534,0.07844988852773584,0.40035027599064815,0.009482606131158356,0.4877357875974732,0.09737867390326466,0.6983808327821385
2,0.45608888593789776,0.07511922438812672,0.38096966145607414,0.008997681538314014,0.46178067550799007,0.09485610965200932,0.6795444617594864,0.4423007881081879,0.07446501059162089,0.36783577675614165,0.008944181533764766,0.4471509954838567,0.09457368309294487,0.6686934989095203
3,0.4298870934275647,0.0726513493187326,0.35723574409432834,0.008652631249193212,0.43316002418575483,0.0930195207964071,0.6581489376924913,0.4244118806113394,0.07286752643760515,0.3515443540515102,0.008726637000226795,0.4281979163122173,0.09341647071168335,0.6543683338244733
4,0.4154758473979115,0.07126514484078195,0.3442107025000664,0.008452692189431671,0.4182376972059551,0.09193852396809332,0.64671299446196,0.4134119815000621,0.07181689856272422,0.3415950823581179,0.008545640864394247,0.4173955215914413,0.09244263553357968,0.6460615462875354
5,0.4057435308039879,0.07022823957632303,0.33551529115713896,0.008305740186110088,0.40832623809670565,0.09113583371051195,0.639004098654074,0.40628408948544775,0.07102170302490499,0.33526238680293463,0.008412366525154572,0.409468309319059,0.0917189540125408,0.6398971083846675
6,0.39837330896552464,0.06941621957046269,0.3289570892971414,0.008188854951506177,0.40081323366105825,0.09049229222152667,0.6330981232487254,0.4004929563060111,0.07057437047947707,0.32991858528852,0.008361347834859255,0.4038747997162348,0.09144040592024542,0.6355114473526301
7,0.3925358636610021,0.06873904657644171,0.3237968170463277,0.00808937134522316,0.39490165655812226,0.08994093253476507,0.6284120117869504,0.39409454658148224,0.06925863154854468,0.3248359144606738,0.00818653221608304,0.3977131171240554,0.09047945742588778,0.6306450008713741
8,0.38780592594331387,0.0681566020621171,0.3196493238908673,0.008008288097369797,0.39012436842480336,0.08948903897891516,0.6245993663339752,0.39117307531900747,0.06914115409120526,0.3220319213652793,0.008185250819729787,0.39488310244992764,0.09047237600356137,0.6283972489197638
9,0.3838805768823344,0.06763649435102166,0.3162440824688918,0.007935405627242141,0.38617036956133705,0.08908089372723053,0.6214260773103564,0.38903230709804276,0.06883248417106434,0.32019982295315697,0.00814582802928018,0.3925571071901702,0.09025424105979829,0.6265437791488877
10,0.3805630231714647,0.06716548703775009,0.31339753598213904,0.007871841113880415,0.382850207574829,0.08872339665432345,0.6187489051100042,0.38525574994834255,0.06860841694607056,0.31664733306524917,0.008065766878239294,0.3884913778804262,0.08980961462025819,0.6232907651172334
11,0.3777611479787491,0.06675613084750841,0.31100501704995176,0.007817064771126743,0.3800256420638049,0.08841416612244184,0.6164621984061999,0.3817363150973023,0.06778927384418354,0.3139470417266688,0.008029655472428931,0.38550134959719634,0.08960834488165112,0.6208875498809718
12,0.37528065661485166,0.06638888816298895,0.3088917684486424,0.007768014811747461,0.37752232335979247,0.08813634217363153,0.6144284525962258,0.38079476490521325,0.0680058374422424,0.3127889272912439,0.007985851585895036,0.3842570269968407,0.08936359206016192,0.6198846884678155
13,0.3731304539528055,0.06607479465001087,0.3070556592062337,0.007726058991146296,0.3753796072659291,0.08789800333992973,0.6126823053311798,0.37806202633788843,0.06728352762701995,0.3107784990747727,0.007934122700153387,0.382136930221377,0.08907369252564636,0.6181722496370871
14,0.37119955489285805,0.06576853523359613,0.3054310196195387,0.007683908698968835,0.3734409017148767,0.08765790722444174,0.6110981113658237,0.37717545425434107,0.06685350275322417,0.3103219515587774,0.007855705043901474,0.38078384666071896,0.08863241531122501,0.6170768563645204
15,0.36944456371087764,0.06549283405027409,0.30395172959245453,0.007648459928512507,0.37168904098233735,0.08745547397683295,0.6096630552873754,0.3745274533837463,0.06686484648998402,0.3076626069911419,0.007866223757058033,0.37786969922203606,0.08869173443482788,0.6147110697083924
16,0.3678298747657719,0.06524484237576066,0.3025850323439783,0.007613787541983297,0.3700623125936754,0.08725702001548813,0.6083274715099388,0.3727915808579173,0.06639984501784824,0.30639173616540244,0.007772070417135681,0.3758757840119709,0.08815934673723304,0.6130870933333786
17,0.36640198844582245,0.0650124950696895,0.30138949328359393,0.007583421239605864,0.3686243591234795,0.08708284124674541,0.6071444302004915,0.37200857864755477,0.06624874976911976,0.305759829198299,0.007763296686718664,0.3752375666676485,0.08810957204934469,0.6125663773564858
18,0.36508419137233966,0.06481497291683766,0.300269218478467,0.007556374823102166,0.3672909570519725,0.08692741122972757,0.6060453424059725,0.3703274254499666,0.06596049997909656,0.3043669257222344,0.007740595540862388,0.37352172356908436,0.08798065435572974,0.6111642361665842
19,0.36386349562842973,0.06461896210393289,0.2992445335018603,0.007530260165892613,0.36606358218621443,0.08677707166004515,0.6050318852640862,0.3688648143692105,0.06566616850263235,0.3031986454371081,0.007716998787843447,0.37259328144231485,0.08784645005828891,0.6104041951382009
20,0.3627336424475494,0.06443521104243444,0.2982984313980551,0.007504736349130579,0.3649328860049731,0.08662988138702822,0.604096752188731,0.3697553762363841,0.06597011623425315,0.3037852597607827,0.007748071358521555,0.3729574999875339,0.08802312967920167,0.6107024643699531
21,0.3616990000591969,0.06425779977643521,0.29744120021765486,0.007480850496359709,0.3639024693540777,0.08649191000526991,0.603243292009184,0.3685831610828938,0.06577840004575855,0.3028047611029798,0.00771072441841587,0.372191177633152,0.08781073065642872,0.6100747311872144
22,0.3606869355673543,0.06409680534834628,0.29659013016653457,0.007459374543941713,0.36286886340492847,0.08636767071040942,0.6023859754384463,0.3671647484825297,0.06562147507070502,0.3015432731760121,0.00768249058728633,0.37069929010234764,0.08764981795352646,0.608850794614204
23,0.359781823299956,0.06394221908322541,0.29583960419250477,0.007437477475590842,0.3619707317381312,0.08624081096320257,0.6016400350193887,0.36677306004625737,0.06567588419742026,0.30109717565460226,0.007706719784349253,0.36987626173816107,0.0877879250486606,0.6081745322998663
24,0.3589251792594611,0.0638096647991558,0.295115514469287,0.007420345709996819,0.36105642693458345,0.08614142853468834,0.6008797108694747,0.3661940951928368,0.06555057420133656,0.30064352078201223,0.007684000932350689,0.3690803092083754,0.08765843332133359,0.6075198014948775
25,0.3581142534349407,0.06366289802950424,0.2944513553367809,0.007400304103412759,0.36026955073014766,0.08602502021745045,0.6002245835769705,0.36552065697927916,0.06540492609952349,0.30011573128686375,0.007709297224260617,0.3686749565908567,0.0878026037441978,0.6071860971653227
26,0.3573503726844112,0.06353987521036827,0.2938104974670583,0.007384236496945769,0.3595214819253798,0.08593158032380045,0.5996011023383628,0.36527045167969674,0.06519932534811348,0.30007112633992006,0.007625918473394032,0.36912197362500376,0.08732650498785596,0.607554091110416
27,0.35661717241919166,0.06341534050883052,0.29320183181689385,0.007367603051602212,0.3587657527542952,0.08583474268384692,0.5989705775364055,0.36401253763623903,0.06522968013777496,0.2987828574893706,0.007635459762310453,0.36689193860585184,0.08738111788201415,0.6057160544395797
28,0.35592680393503523,0.06329521278078928,0.29263159118723775,0.007351449283819531,0.3580777222257025,0.0857405929756701,0.5983959577284113,0.36420473581893686,0.06537720614228891,0.2988275299618506,0.007656044868259508,0.3668291104840627,0.08749882781077417,0.6056641895341532
29,0.35528629716837784,0.06319134914961315,0.2920949479696145,0.0073372243808455745,0.3574218684013057,0.08565759966777947,0.5978476966596975,0.36250760622146316,0.06476605698248085,0.2977415494744365,0.007574861672098709,0.36567989869729806,0.08703368125098875,0.6047147250541349
30,0.35467411463923204,0.06308463741820271,0.29158947720292117,0.00732278962160721,0.3567976956033135,0.08557329970035753,0.5973254519969106,0.36253523549234107,0.0648297489037244,0.2977054868144065,0.007593231518565886,0.36615413394775764,0.0871391503204265,0.6051067128596059
31,0.35408697963968117,0.06298502871503615,0.2911019508439656,0.007309846809163569,0.356218823836783,0.08549764212633919,0.5968407022286457,0.3614485041010626,0.06448130458276359,0.2969671992659125,0.007530796743620062,0.36430222595877587,0.08678016330717558,0.603574540515731
32,0.353528581551606,0.06288622733582552,0.29064235419893314,0.007296290071437531,0.3556417552796196,0.08541832397932853,0.5963570702855963,0.3608838391921808,0.0642854982135235,0.29659834070747987,0.007479866476022353,0.3643360331605643,0.08648622130734093,0.6036025456876108
